Ligand ID,Structure ID,Structure link,Glytoucan ID,Glytoucan link
160,152,https://sugarbind.expasy.org/structures/152,G98173LG,https://glytoucan.org/Structures/Glycans/G98173LG
92,86,https://sugarbind.expasy.org/structures/86,G80062GG,https://glytoucan.org/Structures/Glycans/G80062GG
96,90,https://sugarbind.expasy.org/structures/90,G04165ZA,https://glytoucan.org/Structures/Glycans/G04165ZA
168,159,https://sugarbind.expasy.org/structures/159,G91649BT,https://glytoucan.org/Structures/Glycans/G91649BT
107,101,https://sugarbind.expasy.org/structures/101,G01296LJ,https://glytoucan.org/Structures/Glycans/G01296LJ
110,104,https://sugarbind.expasy.org/structures/104,G26036PN,https://glytoucan.org/Structures/Glycans/G26036PN
99,93,https://sugarbind.expasy.org/structures/93,G08079IN,https://glytoucan.org/Structures/Glycans/G08079IN
125,118,https://sugarbind.expasy.org/structures/118,G21938SG,https://glytoucan.org/Structures/Glycans/G21938SG
140,132,https://sugarbind.expasy.org/structures/132,G72548RZ,https://glytoucan.org/Structures/Glycans/G72548RZ
21,21,https://sugarbind.expasy.org/structures/21,G87315SO,https://glytoucan.org/Structures/Glycans/G87315SO
39,37,https://sugarbind.expasy.org/structures/37,G77824XV,https://glytoucan.org/Structures/Glycans/G77824XV
40,38,https://sugarbind.expasy.org/structures/38,G03499BP,https://glytoucan.org/Structures/Glycans/G03499BP
117,111,https://sugarbind.expasy.org/structures/111,G55153IW,https://glytoucan.org/Structures/Glycans/G55153IW
43,41,https://sugarbind.expasy.org/structures/41,G61298NX,https://glytoucan.org/Structures/Glycans/G61298NX
46,44,https://sugarbind.expasy.org/structures/44,G22689CV,https://glytoucan.org/Structures/Glycans/G22689CV
48,46,https://sugarbind.expasy.org/structures/46,G71485PH,https://glytoucan.org/Structures/Glycans/G71485PH
68,65,https://sugarbind.expasy.org/structures/65,G30207PZ,https://glytoucan.org/Structures/Glycans/G30207PZ
77,73,https://sugarbind.expasy.org/structures/73,G47395XN,https://glytoucan.org/Structures/Glycans/G47395XN
74,70,https://sugarbind.expasy.org/structures/70,G07982RO,https://glytoucan.org/Structures/Glycans/G07982RO
83,78,https://sugarbind.expasy.org/structures/78,G20044TD,https://glytoucan.org/Structures/Glycans/G20044TD
87,81,https://sugarbind.expasy.org/structures/81,G78260AJ,https://glytoucan.org/Structures/Glycans/G78260AJ
